Salon_BusinessID,Permit_Number,SalonName,Salon St No,SalonStName,Salon St Ext,Salon Neighborhood,Salon State,Salon Zip,Salon Closed,Services Nails,Services Tanning,Services Hair,Services Spa,Services Wax,Services Other,Number Tables,Number Baths,Salon_First_Visit,Salon_Last_Visit,Permit Start,Permit End,Application Date,Application Type,Previous Permit,Permit_Use and Occupancy,Permit_Flammable Storage,Permit_Salon BOC License,Permit_Cosmetologist Licenses,Permit_Ventilation,Permit_Work with BPHC,Permit Fee,Date Passed Inspection
846,2012N-00109,Fancy Nail Salon,640,Gallivan,BL,South Dorchester,MA,2124,0,1,1,0,1,1,MASSAGE,18,9,10/11/2011 12:00:00 AM,,10/10/2012 12:00:00 AM,10/10/2013 12:00:00 AM,10/10/2012 12:00:00 AM,Renewal,2011N-00033,1,1,1,1,1,0,560,10/12/2011 12:00:00 AM
846,2013N-00132,Fancy Nail Salon,640,Gallivan,BL,South Dorchester,MA,2124,0,1,1,0,1,1,MASSAGE,20,9,10/11/2011 12:00:00 AM,,10/11/2013 12:00:00 AM,10/11/2014 12:00:00 AM,10/04/2013 12:00:00 AM,Renewal,,1,1,1,1,1,0,600,10/12/2011 12:00:00 AM
846,2014N-00144,Fancy Nail Salon,640,Gallivan,BL,South Dorchester,MA,2124,0,1,1,0,1,1,MASSAGE,21,9,10/11/2011 12:00:00 AM,,10/12/2014 12:00:00 AM,10/12/2015 12:00:00 AM,10/17/2014 12:00:00 AM,Renewal,2013N-00132,0,0,1,0,0,0,620,
847,2011N-00001,BPHC Construction,655,Gallivan,BL,South Dorchester,MA,2124,0,1,1,1,1,1,facial,10,8,08/02/2011 12:00:00 AM,07/29/2013 12:00:00 AM,08/02/2011 12:00:00 AM,08/01/2012 12:00:00 AM,07/12/2011 12:00:00 AM,New,,1,1,1,1,0,0,380,07/29/2013 12:00:00 AM
847,2013N-00084,BPHC Construction,655,Gallivan,BL,South Dorchester,MA,2124,0,1,1,1,1,1,facial,13,8,08/02/2011 12:00:00 AM,07/29/2013 12:00:00 AM,08/03/2013 12:00:00 AM,08/03/2014 12:00:00 AM,07/15/2013 12:00:00 AM,Renewal,2011N-00001,1,1,1,1,1,0,440,07/29/2013 12:00:00 AM
847,2012N-00080,BPHC Construction,655,Gallivan,BL,South Dorchester,MA,2124,0,1,1,1,1,1,facial,10,8,08/02/2011 12:00:00 AM,07/29/2013 12:00:00 AM,07/30/2012 12:00:00 AM,07/30/2013 12:00:00 AM,07/30/2012 12:00:00 AM,Renewal,,0,0,0,0,0,0,380,07/29/2013 12:00:00 AM
847,2014N-00103,BPHC Construction,655,Gallivan,BL,South Dorchester,MA,2124,0,1,1,1,1,1,facial,15,8,08/02/2011 12:00:00 AM,07/29/2013 12:00:00 AM,08/04/2014 12:00:00 AM,08/04/2015 12:00:00 AM,07/25/2014 12:00:00 AM,Renewal,2013N-00084,1,1,1,1,1,1,480,
848,2012N-00005,T & T Nail Design,1738,Dorchester,ST,South Dorchester,MA,2124,0,1,0,0,0,0,,5,4,02/15/2012 12:00:00 AM,,02/15/2012 12:00:00 AM,02/14/2013 12:00:00 AM,12/14/2011 12:00:00 AM,New,2012N-00005,1,1,1,1,1,0,200,04/01/2013 12:00:00 AM
848,2013N-00038,T & T Nail Design,1738,Dorchester,ST,South Dorchester,MA,2124,0,1,0,0,0,0,,5,4,02/15/2012 12:00:00 AM,,02/15/2013 12:00:00 AM,02/15/2014 12:00:00 AM,03/14/2013 12:00:00 AM,Renewal,2012N-00005,0,1,1,1,0,0,200,04/01/2013 12:00:00 AM
848,2014N-00022,T & T Nail Design,1738,Dorchester,ST,South Dorchester,MA,2124,0,1,0,0,0,0,,5,4,02/15/2012 12:00:00 AM,,02/16/2014 12:00:00 AM,02/16/2015 12:00:00 AM,02/06/2014 12:00:00 AM,Renewal,2013N-00038,1,1,1,1,1,0,200,04/01/2013 12:00:00 AM
